"Timestep"	"N"	"DBH"	"H"	"BA"
103	6529.80717386	0.00108384898065119	0.00128980790910891	60.8747696560584
104	6568.37275452	0.00107638008760163	0.00128170418637416	61.3048003053518
105	6600.6516995	0.00107010322405602	0.00127496625693029	61.1513223046921
106	6631.20157248	0.00106425035177263	0.00126867828170824	61.0061463092102
107	6660.06406879	0.00105880063853799	0.001262821880061	60.8686253250147
108	6687.09826452	0.00105376618995818	0.00125740839282579	60.6711922957652
109	6712.36668902	0.00104912753871106	0.00125241669426433	60.4837434306873
110	6735.92364332	0.00104620784882367	0.0012478284813162	60.3057664601595
111	6757.82517745	0.00104512404242989	0.00124362033514599	60.1365931187558
112	6778.12182173	0.00104435061151062	0.00123977660854612	59.9758557678786
113	6796.86310774	0.00104387480774274	0.00123628076758049	59.8230998353405
114	6814.09756202	0.00104368701422162	0.00123311806624067	59.6780558359357
115	6829.869822124	0.00104377564626453	0.0012302744770328	59.5403209779079
116	6843.146952815	0.00104429554292695	0.00122784673044644	59.073188597894
117	6854.02713558	0.0010452278305234	0.00122617772534372	58.6183110427958
118	6868.150541894	0.00104571172671939	0.00122420409100039	58.6583483699458
119	6882.064461985	0.00104627225146749	0.00122250683976474	58.7078986427183
120	6895.802633197	0.00104690340595993	0.00122104684334979	58.7665646831629
121	6909.399947544	0.00104759787633117	0.00121979165284182	58.8340381085109
122	6922.886296248	0.00104834984364017	0.00121871434147551	58.9100932877713
123	6936.289370544	0.00104915421744832	0.00121778948274339	58.9941430841835
124	6949.638057303	0.00105000528669034	0.00121699553044911	59.0859555261748
125	6962.960244279	0.00105089747829558	0.00121631361042758	59.1853904506732
126	6976.277924666	0.00105182635822461	0.00121572882955591	59.2920083287325
127	6989.616618489	0.00105278714822834	0.00121522236976288	59.4056448164814
128	7002.997887059	0.00105377509801934	0.00121478151735046	59.5258087836838
129	7016.443423093	0.00105478631576577	0.00121439646214927	59.6525502009227
130	7029.973071196	0.00105581688944844	0.0012140546667337	59.7854937333578
131	7043.60449191	0.001056863307106	0.00121374403241206	59.9243102848747
132	7057.356161762	0.00105792159817742	0.00121345872019088	60.0689100381796
133	7071.246193993	0.00105898838554122	0.00121318866092622	60.2189564757166
134	7085.289257774	0.00106006034910781	0.00121292656119294	60.3742322709208
135	7099.501241441	0.00106113465482797	0.00121266533594397	60.5346481528893
136	7113.896318936	0.00106220836355684	0.00121240016611819	60.6999011933312
137	7128.487519337	0.00106327836651419	0.00121212279104255	60.8697793496483
138	7143.287516495	0.00106434292106137	0.00121183071855666	61.0442257590329
139	7158.309888068	0.00106539812233223	0.00121151740948312	61.2229333090888
140	7173.564058333	0.00106644322918965	0.00121117886379608	61.4057650515809
141	7189.061236179	0.0010674749905859	0.00121081159383221	61.5925035475095
